id_venda;id_cliente;tipo;data_venda;valor_unitario;valor_subtotal;valor_total;valor_nota;valor_desconto;descricao_desconto;status;cancelado;processada;nome_colaborador;descricao;id_nota_venda
73418020;6405729;ATENDIMENTO;20260507;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
67520153;6456795;ATENDIMENTO;20260206;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
62309857;6456845;ATENDIMENTO;20251226;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62310126;6456845;ATENDIMENTO;20251206;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
73119110;6456872;ATENDIMENTO;20260516;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
71305841;6456872;ATENDIMENTO;20260418;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
68879831;6456872;ATENDIMENTO;20260312;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
68879640;6456872;ATENDIMENTO;20260312;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
65911567;6456872;ATENDIMENTO;20260120;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
62227539;6456872;ATENDIMENTO;20251222;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
62227527;6456872;ATENDIMENTO;20251222;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
67429950;6456923;ATENDIMENTO;20260204;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62228624;6456923;ATENDIMENTO;20251220;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
71797698;6457006;ATENDIMENTO;20260502;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
70438068;6457006;ATENDIMENTO;20260410;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
68978889;6457006;ATENDIMENTO;20260320;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
68757131;6457006;ATENDIMENTO;20260227;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
67337986;6457006;ATENDIMENTO;20260207;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
65735180;6457006;ATENDIMENTO;20260116;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62230227;6457006;ATENDIMENTO;20251219;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
60490119;6457006;ATENDIMENTO;20251121;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
72586479;6457078;ATENDIMENTO;20260424;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
70494419;6457078;ATENDIMENTO;20260321;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
68304692;6457078;ATENDIMENTO;20260221;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
65917804;6457078;ATENDIMENTO;20260117;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
62278806;6457078;ATENDIMENTO;20251218;81.00;81.00;81.00;81.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Buço Queixo;
67426649;6457781;ATENDIMENTO;20260212;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
62235403;6457781;ATENDIMENTO;20251222;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Coloração;
72008488;6457891;ATENDIMENTO;20260415;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
72154978;6458228;ATENDIMENTO;20260416;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
66833302;6458228;ATENDIMENTO;20260127;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
62837341;6458228;ATENDIMENTO;20251129;45.00;45.00;45.00;45.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado;
72599803;6459802;ATENDIMENTO;20260424;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
71304644;6459802;ATENDIMENTO;20260404;60.00;60.00;60.00;60.00;;;NOTA_PENDENTE;NAO;NAO;Ana Carolina;Design Personalizado Com Henna;
