id_cliente;qtd_atendimentos;data_ultimo_atendimento;valor_total_atendimentos;qtd_produtos_vendidos;data_ultima_venda_produto;valor_total_venda_produtos;qtd_pacotes_vendidos;data_ultima_venda_pacote;valor_total_venda_pacotes;valor_total_vendas;valor_total_pendente_conta_aberta;valor_total_pendente_notas_abertas
6405729;0;;0;0;;0;0;;0;0;45.00;0
6456795;0;;0;0;;0;0;;0;0;210.00;0
6456845;0;;0;0;;0;0;;0;0;840.00;0
6456872;0;;0;0;;0;0;;0;0;2040.00;0
6456919;0;;0;0;;0;0;;0;0;465.00;0
6456923;0;;0;0;;0;0;;0;0;565.00;0
6456976;0;;0;0;;0;0;;0;0;615.00;0
6457006;0;;0;0;;0;0;;0;0;1537.00;0
6457078;0;;0;0;;0;0;;0;0;1489.00;0
6457781;0;;0;0;;0;0;;0;0;480.00;0
6457807;0;;0;0;;0;0;;0;0;80.00;0
6457818;0;;0;0;;0;0;;0;0;175.00;0
6457891;0;;0;0;;0;0;;0;0;345.00;0
6458228;0;;0;0;;0;0;;0;0;935.00;0
6459802;0;;0;0;;0;0;;0;0;1005.00;0
6460096;0;;0;0;;0;0;;0;0;315.00;0
6460726;0;;0;0;;0;0;;0;0;1295.00;0
6460982;0;;0;0;;0;0;;0;0;624.00;0
6461005;0;;0;0;;0;0;;0;0;1290.00;0
6461245;0;;0;0;;0;0;;0;0;2435.00;0
6461753;0;;0;0;;0;0;;0;0;780.00;0
6461812;0;;0;0;;0;0;;0;0;600.00;0
6461851;0;;0;0;;0;0;;0;0;4090.00;0
6461956;0;;0;0;;0;0;;0;0;70.00;0
6462651;0;;0;0;;0;0;;0;0;180.00;0
6463130;0;;0;0;;0;0;;0;0;675.00;0
6465622;0;;0;0;;0;0;;0;0;1447.50;0
6467742;0;;0;0;;0;0;;0;0;1310.00;0
6585354;0;;0;0;;0;0;;0;0;45.00;0
6585691;0;;0;0;;0;0;;0;0;200.00;0
6586905;0;;0;0;;0;0;;0;0;180.00;0
6587048;0;;0;0;;0;0;;0;0;1020.00;0
6592005;0;;0;0;;0;0;;0;0;750.00;0
6593550;0;;0;0;;0;0;;0;0;1365.00;0
6593555;0;;0;0;;0;0;;0;0;225.00;0
6593564;0;;0;0;;0;0;;0;0;495.00;0
6593712;0;;0;0;;0;0;;0;0;1688.00;0
6594106;0;;0;0;;0;0;;0;0;1370.00;0
6594145;0;;0;0;;0;0;;0;0;1755.00;0
6596167;0;;0;0;;0;0;;0;0;980.00;0
6596168;0;;0;0;;0;0;;0;0;80.00;0
6597030;0;;0;0;;0;0;;0;0;45.00;0
6599094;0;;0;0;;0;0;;0;0;810.00;0
6599117;0;;0;0;;0;0;;0;0;540.00;0
6599137;0;;0;0;;0;0;;0;0;1911.00;0
6599413;0;;0;0;;0;0;;0;0;1135.00;0
6599482;0;;0;0;;0;0;;0;0;1670.00;0
6599522;0;;0;0;;0;0;;0;0;2112.50;0
6601185;0;;0;0;;0;0;;0;0;1430.00;0
6602567;0;;0;0;;0;0;;0;0;925.00;0
6605159;0;;0;0;;0;0;;0;0;985.00;0
6605603;0;;0;0;;0;0;;0;0;450.00;0
6606236;0;;0;0;;0;0;;0;0;420.00;0
6607288;0;;0;0;;0;0;;0;0;310.00;0
6609962;0;;0;0;;0;0;;0;0;735.00;0
6610626;0;;0;0;;0;0;;0;0;870.00;0
6613858;0;;0;0;;0;0;;0;0;120.00;0
6614211;0;;0;0;;0;0;;0;0;790.00;0
